hour,hourly,day,daily,time_range_bin,time_bin,time_range_next,time_to_next,overall,total_interactions,total_skips
0,0.0,,,,,,,,,,
1,0.011673151750972763,,,,,,,,,,
2,0.0,,,,,,,,,,
3,0.005030181086519115,,,,,,,,,,
4,0.004405286343612335,,,,,,,,,,
5,0.0036730945821854912,,,,,,,,,,
6,0.0032258064516129032,,,,,,,,,,
7,0.0023752969121140144,,,,,,,,,,
8,0.003940886699507389,,,,,,,,,,
9,0.006609385327164574,,,,,,,,,,
10,0.0013908205841446453,,,,,,,,,,
11,0.0011627906976744186,,,,,,,,,,
12,0.0,,,,,,,,,,
13,0.0,,,,,,,,,,
14,0.001639344262295082,,,,,,,,,,
15,0.0,,,,,,,,,,
16,0.0,,,,,,,,,,
17,0.0,,,,,,,,,,
18,0.0,,,,,,,,,,
19,0.0,,,,,,,,,,
20,0.0,,,,,,,,,,
21,0.0,,,,,,,,,,
22,0.0,,,,,,,,,,
23,0.0,,,,,,,,,,
,,0,0.0006722689075630252,,,,,,,,
,,1,0.0006129328838492185,,,,,,,,
,,2,0.005385996409335727,,,,,,,,
,,3,0.003620803159973667,,,,,,,,
,,4,0.00319375443577005,,,,,,,,
,,5,0.0004317789291882556,,,,,,,,
,,6,0.00033288948069241014,,,,,,,,
,,,,0-1min,0.0021009479887266207,,,,,,
,,,,1-5min,0.01107011070110701,,,,,,
,,,,5-10min,0.0,,,,,,
,,,,10-30min,0.0,,,,,,
,,,,30-60min,0.0,,,,,,
,,,,60min+,0.0,,,,,,
,,,,,,0-1min,0.9545454545454546,,,,
,,,,,,1-5min,0.045454545454545456,,,,
,,,,,,5-10min,0.0,,,,
,,,,,,10-30min,0.0,,,,
,,,,,,30-60min,0.0,,,,
,,,,,,60min+,0.0,,,,
,,,,,,,,0.002119868953555598,,,
,,,,,,,,,20756.0,
,,,,,,,,,,44.0