"post_id","Date Added","Caption","Option 1","Option 2","Sponsor?","id","UGC?","# Views","# Resps","% R/V","% Opt1","% Opt2","# Likes","# Comments","# Bookmarks","# Skips"
"1716990568322-gil5r62W","2024-05-29 00:00:00","For an app…","Want personalized features even though personal data is collected","Generic functionality but no data collection","True","SnapInput","False",555,294,0.5297297297297298,0.5204081632653061,0.47959183673469385,11,5,0,0
"1717398117529-w2tcau1n","2024-06-03 00:00:00","","Always feel too hot","Always feel too cold","False","n/a","False",495,390,0.7878787878787878,0.2512820512820513,0.7487179487179487,7,4,0,0
"1716957101156-rnUj17j0","2024-05-29 00:00:00","","Speak a new language fluently","Talk to an animal","False","n/a","False",474,385,0.8122362869198312,0.5844155844155844,0.4155844155844156,9,1,0,0
"1717398092115-8z8RLXwb","2024-06-03 00:00:00","","Eat anything and never gain weight","Won't feel tired and never need to sleep","False","n/a","False",441,376,0.8526077097505669,0.6808510638297872,0.3191489361702128,2,1,0,0
"1716957076087-9wpIpgRR","2024-05-29 00:00:00","","Can only tell the truth","Always tell the lie","False","n/a","False",434,339,0.7811059907834101,0.7699115044247787,0.23008849557522124,6,2,0,0
"1716887394408-6g4jR7jr","2024-05-28 00:00:00","","Unlimited money","Unlimited knowledge","False","n/a","False",433,375,0.8660508083140878,0.456,0.544,7,1,0,0
"1716887370455-bwj2B9S3","2024-05-28 00:00:00","","Live in a world with no problems","Lve in a world where you rule","False","n/a","False",407,359,0.8820638820638821,0.8050139275766016,0.19498607242339833,6,0,0,0
"1717398056145-qVeiVUop","2024-06-03 00:00:00","","Smartest person in the world","Funniest person in the world","False","n/a","False",397,357,0.8992443324937027,0.7815126050420168,0.2184873949579832,1,2,0,0
"1717739092043-i5MhiYIl","2024-06-07 00:00:00","Pick one...","live without music","live without movies","False","n/a","False",393,316,0.8040712468193384,0.17088607594936708,0.8291139240506329,7,13,0,0
"1716782931949-CjzLHaV7","2024-05-27 00:00:00","Better anime?","Jojo bizzar adventures","Demon slayer","False","n/a","False",387,290,0.7493540051679587,0.23793103448275862,0.7620689655172413,7,2,0,0
"1716881061814-HVqUMtqr","2024-05-28 00:00:00","","Control time","Change your appearance at will","False","n/a","False",386,346,0.8963730569948186,0.5924855491329479,0.407514450867052,4,0,0,0
"1717398016215-30fuuV61","2024-06-03 00:00:00","","Never use technology again","Never leave your home again","False","n/a","False",373,319,0.8552278820375335,0.3510971786833856,0.6489028213166145,2,1,0,0
"1716880520622-OC2gxL3n","2024-05-28 00:00:00","Better superpower?","Teleport anywhere instantly","Read minds","False","n/a","False",372,341,0.9166666666666666,0.6187683284457478,0.3812316715542522,7,0,0,0
"1716782931297-yCOHTdYf","2024-05-27 00:00:00","OG meme","Doge ","Nyan cat","False","n/a","False",365,265,0.726027397260274,0.30566037735849055,0.6943396226415094,5,1,0,0
"1717739065096-k5hf7RoO","2024-06-07 00:00:00","","See 10 minutes into the future","See 10 years into the future","False","n/a","False",360,295,0.8194444444444444,0.3220338983050847,0.6779661016949152,5,7,0,0
"1716782930677-b4FkHh7A","2024-05-27 00:00:00","Winner of the fight","Jake Paul","Mike Tyson","False","n/a","False",355,205,0.5774647887323944,0.2048780487804878,0.7951219512195122,6,1,0,0
"1718076610245-nAU5DZ2K","2024-06-11 00:00:00","","New Jeans","Taylor Swift","False","n/a","False",342,234,0.6842105263157895,0.6794871794871795,0.32051282051282054,4,11,0,0
"1716782930062-ouRsmvC5","2024-05-27 00:00:00","","Marrying a rich but toxic person","Marrying a poor but loving person","False","n/a","False",334,269,0.8053892215568862,0.3345724907063197,0.6654275092936803,5,0,0,0
"1716782929463-yBB8l3mA","2024-05-27 00:00:00","","Only watch anime ","Only watch k-dramas ","False","n/a","False",320,272,0.85,0.5992647058823529,0.4007352941176471,7,0,0,0
"1716782928928-86w70PsL","2024-05-27 00:00:00","","Be able to breath in water","Be able to breath in space","False","n/a","False",315,268,0.8507936507936508,0.6529850746268657,0.34701492537313433,4,0,0,0
"1718076554943-cgbfansX","2024-06-11 00:00:00","","Read mind","Go invisible","False","n/a","False",297,231,0.7777777777777778,0.5627705627705628,0.43722943722943725,6,7,0,0
"1716782928348-1RA1yY3k","2024-05-27 00:00:00","What's more important","Skincare","Makeup","False","n/a","False",292,264,0.9041095890410958,0.9393939393939394,0.06060606060606061,3,0,0,1
"1716782927592-4Fg2GOoW","2024-05-27 00:00:00","","Superpower","Magic","False","n/a","False",286,253,0.8846153846153846,0.4426877470355731,0.5573122529644269,3,0,0,0
"1716782926964-oW6vR7wF","2024-05-27 00:00:00","Better season","autumn/winter","summer/spring","False","n/a","False",279,259,0.9283154121863799,0.7413127413127413,0.25868725868725867,2,0,0,0
"1716782926324-o2NJO9fb","2024-05-27 00:00:00","","Always being early ","Always being late","False","n/a","False",271,247,0.9114391143911439,0.8785425101214575,0.1214574898785425,3,0,0,0
"1716782925750-dAzpyB6F","2024-05-27 00:00:00","","Know when you will die","Know how you will die","False","n/a","False",266,231,0.868421052631579,0.5714285714285714,0.42857142857142855,4,1,0,0
"1716782925174-eDKEt3I7","2024-05-27 00:00:00","Do you want","To love","To be loved","False","n/a","False",257,228,0.8871595330739299,0.16666666666666666,0.8333333333333334,4,0,0,0
"1716782924515-bmbz9jTB","2024-05-27 00:00:00","","Cat person","Dog person ","False","n/a","False",252,227,0.9007936507936508,0.7400881057268722,0.2599118942731278,2,0,0,0
"1716782923754-saDGyBhY","2024-05-27 00:00:00","","Reincarnation ","Time Travel","False","n/a","False",240,207,0.8625,0.33816425120772947,0.6618357487922706,4,0,0,0
"1716782923099-m3b9XevW","2024-05-27 00:00:00","","Have unlimited friends but they all fake","Have one friend who really care about you","False","n/a","False",225,201,0.8933333333333333,0.014925373134328358,0.9850746268656716,4,0,0,0
"1716782922191-tL0eUMUU","2024-05-27 00:00:00","","IQ","Photographic memory ","False","n/a","False",215,193,0.8976744186046511,0.5233160621761658,0.47668393782383417,2,0,0,0
"1716782921491-W3kgsFvt","2024-05-27 00:00:00","","You can talk with your future self","You can speak to your past self","False","n/a","False",212,185,0.8726415094339622,0.6432432432432432,0.3567567567567568,5,1,0,0
"1716782920291-awogW8Cv","2024-05-27 00:00:00","Which is more sad","Can't listen to your fav music","Can't read your fav books","False","n/a","False",198,174,0.8787878787878788,0.40804597701149425,0.5919540229885057,3,0,0,0
"1716782919669-T4vhzioz","2024-05-27 00:00:00","","Travel evrywhere you want","Never visit your town again","False","n/a","False",193,168,0.8704663212435233,0.9285714285714286,0.07142857142857142,3,2,0,0
"1716782918873-VjZUH2ZN","2024-05-27 00:00:00","","Have a comfortable job","Own a high ranking company but have no control over it","False","n/a","False",183,162,0.8852459016393442,0.8271604938271605,0.1728395061728395,2,0,0,0
"1716782918221-vkWHp5EV","2024-05-27 00:00:00","Weird power but…","You get unlimited pineapple juice for the rest of your life for free but you need to make a front flip every time you want a glass of it  ","You get unlimited barbecue chips for the rest of your life for free but you get shot with a paintball gun whenever you want to take a bag of it","False","n/a","False",176,138,0.7840909090909091,0.42028985507246375,0.5797101449275363,2,0,0,0
"1716782917471-ovFKSNm2","2024-05-27 00:00:00","Pick only one","Love","Money","False","n/a","False",168,151,0.8988095238095238,0.46357615894039733,0.5364238410596026,2,0,0,0
"1716782916488-jXqr3EQY","2024-05-27 00:00:00","Who could you count on?","Choose your friends","Choose your family","False","n/a","False",164,144,0.8780487804878049,0.2847222222222222,0.7152777777777778,2,0,0,1
"1718696060187-H8tIp4UX","2024-06-18 00:00:00","Choose one as pet","Dinosaur","Dragon","False","n/a","False",156,122,0.782051282051282,0.1557377049180328,0.8442622950819673,2,8,0,0
"1716782914931-2plpIonX","2024-05-27 00:00:00","Edit photos in…","Warm colors","Cool colors","False","n/a","False",155,132,0.8516129032258064,0.3939393939393939,0.6060606060606061,1,0,0,0
"1716782915786-0KzYtn6P","2024-05-27 00:00:00","","be yourself","be someone else","False","n/a","False",155,143,0.9225806451612903,0.8041958041958042,0.1958041958041958,1,2,0,0
"1716782914064-6K0SKuMv","2024-05-27 00:00:00","","SAMSUNG","APPLE","False","n/a","False",152,132,0.868421052631579,0.6590909090909091,0.3409090909090909,1,0,0,0
"1718695871575-rOV6oAfD","2024-06-18 00:00:00","","Hot soba","Cold soba","False","n/a","False",135,90,0.6666666666666666,0.4444444444444444,0.5555555555555556,2,5,0,0
"1718693821977-fu2Ot828","2024-06-18 00:00:00","When you speak","always have to whisper","always have to shout","False","n/a","False",124,102,0.8225806451612904,0.7156862745098039,0.28431372549019607,0,4,0,0
"1718693745785-p7tkWQE7","2024-06-18 00:00:00","","never have to do laundry again","never have to do dishes again","False","n/a","False",120,105,0.875,0.5142857142857142,0.4857142857142857,1,2,0,0
"1718693796399-WNPlKGms","2024-06-18 00:00:00"," Be famous for...","your dancing skills","your singing skills","False","n/a","False",115,103,0.8956521739130435,0.39805825242718446,0.6019417475728155,1,3,0,0
"1718693707656-log7G8Su","2024-06-18 00:00:00","","have to sing everything you say","dance every time you move","False","n/a","False",100,87,0.87,0.7011494252873564,0.2988505747126437,1,1,0,0
"1719216977015-NgIBL44U","2024-06-24 00:00:00","Climate change is…","Real","Unreal","True","Elements Advisors","False",30,20,0.6666666666666666,0.9,0.1,0,7,0,0
"1719196928740-7BSveFMR","2024-06-24 00:00:00","","Cigarettes  ","Vapes ","False","n/a","False",29,14,0.4827586206896552,0.42857142857142855,0.5714285714285714,0,4,0,0
"1719216825340-wAd2OxQu","2024-06-24 00:00:00","","Low inflation and no pay raise","High inflation and pay raise","True","Elements Advisors","False",26,14,0.5384615384615384,0.7142857142857143,0.2857142857142857,0,4,0,0
"1719196745738-lfPjdjQA","2024-06-24 00:00:00","","Flavored vapes","Plain tobacco products","False","n/a","False",24,10,0.4166666666666667,0.6,0.4,1,2,0,2
"1719196654068-tXAVb5jE","2024-06-24 00:00:00","","I’d rather be vaping","Nicotine pouches all the way (Zyn)","False","n/a","False",23,8,0.34782608695652173,0.75,0.25,0,1,0,1
"1719216487579-5RMsoy15","2024-06-24 00:00:00","","Bitcoin","Gold","True","Elements Advisors","False",22,15,0.6818181818181818,0.5333333333333333,0.4666666666666667,1,6,0,0
"1719283679078-ueyvDMeD","2024-06-25 00:00:00","Which team is better?","Rams","49ers","False","n/a","False",20,5,0.25,0.4,0.6,0,0,0,0
"1719196007778-8JPSHzGz","2024-06-24 00:00:00","","15 is too young for vaping, come on! ","15 is totally fine, pass me my spicy pineapple!","False","n/a","False",19,15,0.7894736842105263,0.7333333333333333,0.26666666666666666,1,0,0,0
"1716782943024-aqsoYv3Z","2024-05-27 00:00:00","","Always have to sing instead of speak","Always have to dance everywhere you go","False","n/a","False",9,9,1,0.6666666666666666,0.3333333333333333,1,2,0,0
"1716782966986-8OF5iLPF","2024-05-27 00:00:00","","Become a famous inventor","Become a renowned artist","False","n/a","False",9,7,0.7777777777777778,0.8571428571428571,0.14285714285714285,1,1,0,0
"1716782968787-kvnBQQuy","2024-05-27 00:00:00","","Only eat burgers for the rest of your life","Only eat fried rice for the rest of your life","False","n/a","False",9,9,1,0.7777777777777778,0.2222222222222222,1,3,0,0
"1716782999211-2J4dv4Mu","2024-05-27 00:00:00","","Attend an exclusive private party hosted by your favorite musician","Be a VIP guest at a major awards ceremony","False","n/a","False",9,8,0.8888888888888888,0.75,0.25,1,1,0,0
"1716783013031-yXuZDupW","2024-05-27 00:00:00","","Attend a live taping of your favorite sitcom ","Be a contestant on a reality TV show ","False","n/a","False",9,7,0.7777777777777778,0.14285714285714285,0.8571428571428571,0,0,0,0
"1716783034526-Evet5ga4","2024-05-27 00:00:00","","going outdoors alone","staying in with friends","False","n/a","False",9,8,0.8888888888888888,0.375,0.625,0,2,0,0
"1716782972691-PTxYxHpp","2024-05-27 00:00:00","","Have a lifetime supply of bubble tea","Have a lifetime supply of matcha","False","n/a","False",8,8,1,0.125,0.875,0,0,0,0
"1716782977914-iQdHCeO2","2024-05-27 00:00:00","","Have a social media account with a million followers but you can never post about yourself, only about random strangers","Have a social media account with only one follower but it's your celebrity crush who likes and comments on all your posts","False","n/a","False",8,6,0.75,0.16666666666666666,0.8333333333333334,0,0,0,0
"1716782979666-QKBxs1Tr","2024-05-27 00:00:00","","Speak in rhymes all the time","Speak in pig latin all the time","False","n/a","False",8,7,0.875,0.8571428571428571,0.14285714285714285,1,2,0,0
"1716783012521-Imz9xjDm","2024-05-27 00:00:00","","Unlimited free pizza for life but only from a pizza chain you don't really like","Have a 50% discount on pizza from your favorite local pizzeria","False","n/a","False",8,8,1,0.125,0.875,0,1,0,0
"1716783023025-mzo7e9gJ","2024-05-27 00:00:00","","Be forced to use comic sans as your phone's default font","Have all music digitally convert to early 2000s audio quality","False","n/a","False",8,5,0.625,0.8,0.2,0,0,0,0
"1716783029217-igN4chH6","2024-05-27 00:00:00","","Have a permanent hall pass that allows you to skip class whenever you want, but it has a built-in whoopee cushion sound effect","Have a magic backpack that always has the exact snack you're craving, but occasionally it also produces a live chicken","False","n/a","False",8,7,0.875,0.2857142857142857,0.7142857142857143,0,0,0,0
"1716783031568-32o8dMba","2024-05-27 00:00:00","","Let everyone disappear that hates you","Make the people that hate you, like you","False","n/a","False",8,6,0.75,0.5,0.5,1,0,0,0
"1716783039399-dz667leV","2024-05-27 00:00:00","","Kyoto ","Osaka","False","n/a","False",8,8,1,0.125,0.875,0,1,0,0
"1716783040425-C7M9FKmw","2024-05-27 00:00:00","","Have a personal theme song that plays ever time you enter a room","Have a personal dance you vhave to perform everytime you greet someone","False","n/a","False",8,7,0.875,0.8571428571428571,0.14285714285714285,1,0,0,0
"1716783043157-Ebm4YxWC","2024-05-27 00:00:00","","Get an unlimited budget at your local convenience store","Get an unlimited budget at your local fast food chain","False","n/a","False",8,7,0.875,0.7142857142857143,0.2857142857142857,1,1,0,0
"1717167333340-q0c8fzrG","2024-05-31 00:00:00","which is the better character?","Shin Ha-ri (A Business Poposal)","Yoon Ji-Woo (My Name)","False","n/a","True",8,3,0.375,0.6666666666666666,0.3333333333333333,0,1,0,5
"1716782945873-oVmYBnK4","2024-05-27 00:00:00","","Have a personal fragrance that makes everyone around you uncontrollably dance","Have a personal fragrance that makes everyone around you uncontrollably sing","False","n/a","False",7,6,0.8571428571428571,0.6666666666666666,0.3333333333333333,0,1,0,1
"1716782947640-g7Tozvjq","2024-05-27 00:00:00","","Have the ability to fly","Be invisible at will","False","n/a","False",7,6,0.8571428571428571,0.3333333333333333,0.6666666666666666,0,0,0,0
"1716782964927-JcBJ3dmB","2024-05-27 00:00:00","","Work in a job that pays you a million dollars a year but you will never get married or fall in love","Fall in love, get married and be really happy but never earn enough retire","False","n/a","False",7,6,0.8571428571428571,0.6666666666666666,0.3333333333333333,0,0,0,0
"1716782968256-92cDxzgQ","2024-05-27 00:00:00","","Reincarnate as slime","Reincarnate as a leaf","False","n/a","False",7,6,0.8571428571428571,0.5,0.5,0,0,0,1
"1716782969295-k29hAYSy","2024-05-27 00:00:00","","Be Pikachu","Be Jigglypuff","False","n/a","False",7,6,0.8571428571428571,0.3333333333333333,0.6666666666666666,0,3,0,1
"1716782977370-9F1Q8eOa","2024-05-27 00:00:00","","Write a record breaking music album ","Produce a record breaking movie","False","n/a","False",7,6,0.8571428571428571,0.8333333333333334,0.16666666666666666,1,0,0,0
"1716782993014-kmw12MiR","2024-05-27 00:00:00","","Have the power to heal any illness","Be able to bring peace to any conflict","False","n/a","False",7,6,0.8571428571428571,0.8333333333333334,0.16666666666666666,1,0,0,0
"1716783002052-iD89hNR5","2024-05-27 00:00:00","","Have hiccups for the rest of your life","Feel like you have to sneeze but not be able to for the rest of your life","False","n/a","False",7,6,0.8571428571428571,0.16666666666666666,0.8333333333333334,0,2,0,0
"1716783002642-OxSu3aqh","2024-05-27 00:00:00","","Have free unlimited travel for life. but never be able to take photos or post about it on social media","Have to pay for all of your travel but become an Instagram sensation with millions of followers","False","n/a","False",7,7,1,1,0,0,1,0,0
"1716783011375-kitBwPdx","2024-05-27 00:00:00","","Have the power to heal others","Have the power to bring inanimate objects to life","False","n/a","False",7,6,0.8571428571428571,0.3333333333333333,0.6666666666666666,0,0,0,0
"1716783017840-BfyT5wZ1","2024-05-27 00:00:00","","Have a behind-the-scenes tour of your favorite movie franchise","Have a personal tour of a famous art gallery with a renowned curator","False","n/a","False",7,6,0.8571428571428571,0.8333333333333334,0.16666666666666666,1,0,0,0
"1716783020816-D4u7kybM","2024-05-27 00:00:00","","Have a personal drone that delivers your favorite snacks on demand","Have a robot that automatically takes selfies for you and posts them on social media","False","n/a","False",7,5,0.7142857142857143,0.8,0.2,0,0,0,1
"1716783024587-RZEVWrum","2024-05-27 00:00:00","","Have a personal assistant that will take care of all the administrative tasks in your life for you","Have an unlimited gift card to any game you like to play","False","n/a","False",7,5,0.7142857142857143,0,1,1,2,0,1
"1716783041016-xm2MI4Uu","2024-05-27 00:00:00","","Live in a world without music","Live in a world without movies and TV shows","False","n/a","False",7,7,1,0.14285714285714285,0.8571428571428571,1,1,0,0
"1716847043275-mDqAEMy9","2024-05-28 00:00:00","","Biden","Trump","False","n/a","True",7,5,0.7142857142857143,0.2,0.8,0,1,0,2
"1716862412031-lf2dENfP","2024-05-28 00:00:00","When buying your favourite smartphone...","Pay now with your credit card, but settling outstanding balance in 2 years","Buy it 6 months later while keep your spending low everyday in this period","False","n/a","True",7,6,0.8571428571428571,0.3333333333333333,0.6666666666666666,1,0,0,0
"1717033315005-u29PSpOj","2024-05-30 00:00:00","If you are going to choose a place to live for your rest of your life, would you rather","have a extremely enormous fortress but you will live alone in there for whole life","have a very crowded partition room but you can live with everyone you love forever","False","n/a","True",7,4,0.5714285714285714,0.25,0.75,1,0,0,0
"1716782936016-84YZTg1P","2024-05-27 00:00:00","","Never have to sleep again","Never have to eat again","False","n/a","False",6,6,1,0.6666666666666666,0.3333333333333333,0,1,0,0
"1716782936824-L6lqvO3D","2024-05-27 00:00:00","","Have the power to control the weather","Have the power to control animals","False","n/a","False",6,6,1,0.5,0.5,1,1,0,0
"1716782940631-Tl2smocd","2024-05-27 00:00:00","","Win an Olympic gold medal","Win an Academy Award","False","n/a","False",6,5,0.8333333333333334,0.4,0.6,0,0,0,0
"1716782947107-5QYYVMhI","2024-05-27 00:00:00","","Have the ability to control dreams","Have the ability to control weather","False","n/a","False",6,6,1,0.5,0.5,0,1,0,0
"1716782950681-UkL1jl8f","2024-05-27 00:00:00","","Have the ability to teleport anywhere","Be able to read minds","False","n/a","False",6,5,0.8333333333333334,0.6,0.4,0,0,0,0
"1716782951748-KJmDljF5","2024-05-27 00:00:00","","Live in a world where magic is real","Live in a world with advanced alien technology","False","n/a","False",6,5,0.8333333333333334,1,0,0,0,0,0
"1716782952304-nWRXkx7h","2024-05-27 00:00:00","","Have a personal robot servant that always speaks in rhymes","Have a personal robot servant that only communicates through interpretive dance","False","n/a","False",6,6,1,1,0,0,0,0,0
"1716782953843-w111g55I","2024-05-27 00:00:00","","Only be able to speak in emojis for a year","Only be able to communicate through TikTok dances for a month","False","n/a","False",6,5,0.8333333333333334,1,0,0,0,0,0
"1716782955033-O8NASuiB","2024-05-27 00:00:00","","Be able to fly","Be able to become invisible","False","n/a","False",6,5,0.8333333333333334,0.8,0.2,0,0,0,1
"1716782960399-joWOtnwO","2024-05-27 00:00:00","","Have a permanent mustache that never stops growing","Have permanent clown shoes that squeak loudly everytime you walk","False","n/a","False",6,5,0.8333333333333334,0.6,0.4,0,0,0,0
"1716782963214-4mVZgJ7q","2024-05-27 00:00:00","","Have the power to heal any illness ","Have the power to bring a loved one back to life","False","n/a","False",6,4,0.6666666666666666,1,0,0,0,0,0
